,Country,Country Code,GINI,GDP,Happiness Score
38,Luxembourg,LUX,-34.5,107361.3069,6.86299991607666
11,Switzerland,CHE,-32.7,83352.08865,7.49399995803833
45,Norway,NOR,-27.0,75496.75406,7.53700017929077
33,Iceland,ISL,-26.1,72010.14903,7.50400018692017
32,Ireland,IRL,-31.4,70413.12183,6.97700023651123
62,United States,USA,-41.2,60109.65573,6.99300003051758
17,Denmark,DNK,-28.7,57610.09818,7.52199983596802
56,Sweden,SWE,-28.8,53791.50873,7.28399991989136
44,Netherlands,NLD,-28.5,48554.99228,7.3769998550415
3,Austria,AUT,-29.7,47309.36627,7.00600004196167
22,Finland,FIN,-27.4,46297.49635,7.4689998626709
10,Canada,CAN,-33.3,45129.35644,7.31599998474121
4,Belgium,BEL,-27.4,44089.31009,6.89099979400635
25,United Kingdom,GBR,-35.1,40304.72308,6.71400022506714
23,France,FRA,-31.6,38685.25849,6.44199991226196
34,Italy,ITA,-35.9,32326.67421,5.96400022506714
41,Malta,MLT,-29.2,28250.69777,6.52699995040894
20,Spain,ESP,-34.7,28100.58624,6.40299987792969
15,Cyprus,CYP,-31.4,26444.07438,5.62099981307983
55,Slovenia,SVN,-24.2,23454.73952,5.75799989700317
49,Portugal,PRT,-33.8,21437.3475,5.19500017166138
16,Czech Republic,CZE,-24.9,20636.19995,6.60900020599365
21,Estonia,EST,-30.4,20407.92738,5.61100006103516
61,Uruguay,URY,-39.5,18690.89384,6.4539999961853
27,Greece,GRC,-34.4,18562.22943,5.22700023651123
37,Lithuania,LTU,-37.3,16843.69965,5.90199995040894
39,Latvia,LVA,-35.6,15643.48563,5.84999990463257
46,Panama,PAN,-49.9,15146.40237,6.4520001411438
12,Chile,CHL,-44.4,14998.81706,6.65199995040894
1,Argentina,ARG,-41.1,14613.04182,6.59899997711182
30,Hungary,HUN,-30.6,14605.85435,5.32399988174438
48,Poland,POL,-29.7,13864.68176,5.97300004959106
29,Croatia,HRV,-30.4,13451.62495,5.29300022125244
14,Costa Rica,CRI,-48.3,12225.57449,7.0789999961853
51,Romania,ROU,-36.0,10807.00917,5.82499980926514
58,Turkey,TUR,-41.4,10589.66772,5.5
43,Mauritius,MUS,-36.8,10484.90583,5.62900018692017
8,Brazil,BRA,-53.3,9928.643063,6.63500022888184
35,Kazakhstan,KAZ,-27.5,9247.581331,5.81899976730347
5,Bulgaria,BGR,-40.4,8334.081728,4.71400022506714
18,Dominican Republic,DOM,-42.2,7609.353275,5.23000001907349
24,Gabon,GAB,-38.0,7230.434912,4.46500015258789
47,Peru,PER,-43.3,6710.507602,5.71500015258789
57,Thailand,THA,-36.5,6593.818352,6.42399978637695
13,Colombia,COL,-49.7,6376.706716,6.35699987411499
54,Serbia,SRB,-36.2,6292.543629,5.39499998092651
19,Ecuador,ECU,-44.7,6213.503127,6.00799989700317
6,Belarus,BLR,-25.4,5761.74712,5.56899976730347
50,Paraguay,PRY,-48.5,5678.869972,5.49300003051758
0,Albania,ALB,-33.2,4531.020806,4.64400005340576
26,Georgia,GEO,-37.9,4357.000936,4.28599977493286
63,Kosovo,XKX,-29.0,4045.614209,5.27899980545044
2,Armenia,ARM,-33.6,3914.527854,4.37599992752075
52,El Salvador,SLV,-38.0,3910.255969,6.00299978256226
31,Indonesia,IDN,-38.1,3837.578024,5.26200008392334
40,Moldova,MDA,-25.9,3509.69345,5.83799982070923
7,Bolivia,BOL,-44.6,3351.124344,5.82299995422363
9,Bhutan,BTN,-37.4,3286.596744,5.01100015640259
60,Ukraine,UKR,-26.0,2640.675677,4.09600019454956
28,Honduras,HND,-49.4,2453.727115,5.18100023269653
64,Zimbabwe,ZWE,-44.3,1335.665064,3.875
42,Myanmar,MMR,-30.7,1257.803576,4.54500007629395
36,Lesotho,LSO,-44.9,1102.94441,3.80800008773804
59,Tanzania,TZA,-40.5,1004.906588,3.34899997711182
53,Somalia,SOM,-36.8,309.0543803,5.15100002288818
